time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
18:17.0,2.9,"8km SSE of San Clemente Is. (SE tip), CA",reviewed,0,129,ci,0.0,,0.122,220.9,mc,-118.316,32.757,5.759
40:31.9,2.4,Nevada,reviewed,0,89,nn,7.0,0.943,0.0428,234.9,ml,-117.2466,39.7214,1.6
48:36.2,2.48,"2km ENE of Orange Cove, California",reviewed,0,95,nc,54.0,0.1153,0.28,59.0,md,-119.2848333,36.6306667,23.393
55:35.1,3.04,"17km SE of Mammoth Lakes, CA",reviewed,0,142,ci,5.0,,0.86,220.0,ml,-118.8295,37.5391667,6.0
21:03.2,2.78,"15km NW of Laytonville, CA",reviewed,0,119,nc,32.0,0.08848,0.18,119.0,md,-123.6206667,39.7698333,-0.77
43:22.5,2.27,Central California,reviewed,0,79,nc,36.0,0.03514,0.04,64.0,md,-118.5933333,37.4361667,9.497
38:02.2,2.38,"11km S of Hermosillo, B.C., MX",reviewed,0,87,ci,0.0,0.3316,0.127,273.8,mc,-114.922,32.411,5.954
32:49.8,2.03,Utah,reviewed,0,63,uu,9.0,0.3947,0.33,117.0,md,-111.0913333,39.318,2.64
48:54.2,2.1,Northern California,reviewed,0,68,nc,21.0,0.01532,0.03,44.0,md,-122.8008333,38.8226667,2.99
06:53.2,2.47,Northern California,reviewed,0,94,nc,19.0,0.6126,0.3,212.0,md,-119.8851667,38.6635,4.289
50:39.8,3.49,"38km SW of Stovepipe Wells, CA",reviewed,0,187,ci,32.0,0.2465,0.19,45.0,ml,-117.4655,36.3768333,1.26
44:15.0,2.4,Northern California,reviewed,0,89,nc,19.0,0.02613,0.07,61.0,md,-121.5036667,39.4271667,5.719
11:27.9,3.6,offshore Northern California,reviewed,0,199,nc,5.0,0.645,0.01,318.0,ml,-124.7715,41.0291667,5.523
36:32.8,2.6,"19km SSW of Carpinteria, CA",reviewed,0,104,ci,10.0,,0.16,109.0,mc,-119.6026667,34.2411667,15.461
52:05.7,3.05,Northern California,reviewed,0,143,nc,5.0,0.04234,0.04,252.0,md,-121.5005,39.4125,3.362
57:09.6,2.0,"6km WSW of Idyllwild, CA",reviewed,0,62,ci,18.0,0.1231,0.23,91.0,mh,-116.7738333,33.713,16.18
09:37.2,2.16,"15km WSW of Malibu, CA",reviewed,0,72,ci,16.0,0.1405,0.29,172.0,mh,-118.9698333,33.9668333,13.19
04:32.2,2.9,"66km ESE of Lakeview, Oregon",reviewed,0,129,nn,5.0,0.126,0.1476,121.03,ml,-119.6535,41.884,3.5
20:40.6,2.44,"50km WSW of Carlsbad, CA",reviewed,0,92,ci,0.0,,0.287,194.5,mc,-117.827,32.955,5.756
50:40.5,2.42,"8km WNW of Camp Pendleton South, CA",reviewed,0,91,ci,69.0,0.1489,0.19,128.0,ml,-117.463,33.2425,12.962
50:55.7,2.85,"10km ENE of Coso Junction, CA",reviewed,0,125,ci,13.0,0.03974,0.14,80.0,ml,-117.8478333,36.0781667,2.4
52:54.0,2.5,"18km ESE of Holtville, California",automatic,0,96,ci,,,,,mb,-115.22,32.73,6.0
05:48.7,2.1,"12km ENE of Ridgecrest, California",reviewed,0,68,ci,0.0,,0.181,137.3,mc,-117.555,35.668,7.168
50:18.5,4.0,Gulf of California,reviewed,0,246,us,23.0,,1.22,291.2,mb,-108.896,24.237,10.0
37:41.8,2.06,"10km SW of Niland, CA",reviewed,0,65,ci,17.0,0.009666,0.23,46.0,ml,-115.612,33.1866667,2.972
03:30.2,3.1,offshore Northern California,reviewed,0,148,nc,22.0,0.1153,0.14,243.0,ml,-124.4353333,40.3088333,7.826
34:41.1,2.2,"15km NNW of Borrego Springs, CA",reviewed,0,74,ci,46.0,0.1195,0.23,37.0,ml,-116.4175,33.388,7.296
33:21.5,2.06,"6km SSE of Bombay Beach, CA",reviewed,0,65,ci,56.0,0.05864,0.19,66.0,ml,-115.7193333,33.295,2.52
30:20.9,2.27,"18km ESE of Little Lake, CA",reviewed,0,79,ci,13.0,0.09459,0.07,63.0,ml,-117.718,35.8953333,6.72
49:21.7,2.77,"104km SE of Kingman, AZ",reviewed,0,118,ci,0.0,,0.56,336.4,mc,-113.15,34.62,-0.629
20:20.2,2.04,Utah,reviewed,0,64,uu,12.0,0.08048,0.15,115.0,ml,-110.4788333,39.6725,-1.57
55:00.5,2.46,"4km NNE of Pacoima, California",reviewed,0,93,ci,0.0,,0.225,65.1,ml,-118.417,34.316,5.461
31:41.9,2.35,"15km N of Pine Mountain Club, CA",reviewed,0,85,ci,0.0,,0.121,110.7,mc,-119.12,34.979,16.148
46:39.3,2.64,"45km NE of Holtville, CA",reviewed,0,107,ci,0.0,,0.128,101.0,mc,-115.0,33.06,-0.229
00:23.9,2.21,"36km ENE of Lucerne Valley, California",reviewed,0,75,ci,0.0,,0.168,51.4,mc,-116.63,34.607,2.754
56:33.6,2.6,"Mount St. Helens area, Washington",reviewed,0,104,uw,8.0,,0.08,87.0,md,-122.1865,46.2075,0.056
55:17.3,2.01,"17km ENE of Big Bear City, California",reviewed,0,62,ci,0.0,,0.13,89.1,mc,-116.672,34.324,-0.526
35:05.0,2.31,Central California,reviewed,0,82,nc,10.0,0.02342,0.01,204.0,md,-118.6171667,37.4263333,7.174
