time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
13:20.0,3.91,"11km E of Ocotillo, CA",reviewed,0,235,ci,38.0,0.3748,0.23,159.0,ml,-115.88,32.7276667,14.617
54:52.5,2.34,Central California,automatic,0,84,nc,11.0,0.291,0.11,148.0,md,-118.6605,38.0168333,2.702
30:00.5,4.21,"61km ENE of Beatty, NV",reviewed,0,273,ci,18.0,,0.37,258.0,ml,-116.1216667,37.1126667,0.01
01:29.3,2.01,Central California,reviewed,0,62,nc,48.0,0.08919,0.07,56.0,md,-120.766,35.4685,4.868
20:45.6,2.0,"Puget Sound region, Washington",reviewed,0,62,uw,34.0,0.0673,0.21,40.0,md,-121.957,47.7078333,26.32
55:47.9,2.47,"14km NNE of Inyokern, CA",reviewed,0,94,ci,0.0,,0.24,62.1,ml,-117.747,35.762,-1.274
17:27.0,2.76,"1km SSE of Beatty, NV",reviewed,0,117,ci,0.0,,0.599,248.9,mc,-116.75,36.9,-1.513
25:30.2,3.13,"10km W of Maneadero, B.C., MX",reviewed,0,151,ci,0.0,,0.106,279.1,mc,-116.671,31.703,5.446
45:58.8,2.49,Central California,reviewed,0,95,nc,28.0,0.1315,0.13,65.0,md,-119.3743333,38.2278333,-2.104
38:22.3,2.01,"18km NE of Coachella, CA",reviewed,0,62,ci,0.0,,0.078,86.1,mc,-116.031,33.784,2.938
22:57.2,2.23,"11km WNW of Alberto Oviedo Mota, B.C., MX",reviewed,0,77,ci,18.0,0.1517,0.18,227.0,ml,-115.2786667,32.269,12.769
34:13.0,2.31,Northern California,reviewed,0,82,nc,43.0,0.06486,0.11,64.0,md,-121.7295,37.0425,11.011
55:00.0,2.72,"3km S of Finley, Washington",reviewed,0,114,uw,30.0,0.08542,0.18,107.0,ml,-119.0255,46.1223333,-0.193
28:58.2,2.5,Nevada,reviewed,0,96,nn,3.0,0.648,0.1342,127.42,ml,-118.8036,41.7979,0.0
52:38.5,3.2,Northern California,reviewed,0,158,nc,35.0,0.01351,0.04,41.0,ml,-122.7981667,38.821,3.45
37:59.3,2.68,Central California,reviewed,0,110,nc,10.0,0.07027,0.04,136.0,md,-120.5763333,36.0006667,3.2
39:43.6,2.2,"19km WSW of Ludlow, California",reviewed,0,74,ci,0.0,0.1583,0.078,82.1,mh,-116.354,34.672,1.648
42:38.0,2.5,"5km N of Yucca Valley, California",reviewed,0,96,ci,0.0,,0.167,78.8,mc,-116.425,34.157,7.607
20:26.0,2.16,"12km ENE of Barstow, California",reviewed,0,72,ci,0.0,,0.213,90.5,mc,-116.901,34.934,4.963
59:39.6,2.33,Central California,reviewed,0,84,nc,24.0,0.03153,0.03,83.0,md,-118.8451667,37.563,7.23
08:58.2,2.0,"7km WSW of Calipatria, CA",reviewed,0,62,ci,23.0,0.0633,0.2,88.0,mh,-115.576,33.0923333,8.05
45:53.4,2.43,"14km ESE of Santa Barbara Is., CA",reviewed,0,91,ci,0.0,,0.146,159.9,mc,-118.933,33.414,5.82
25:12.7,2.28,"San Francisco Bay area, California",reviewed,0,80,nc,59.0,0.002703,0.04,104.0,md,-122.4765,37.6348333,7.288
37:57.0,2.34,Northern California,reviewed,0,84,nc,17.0,0.09189,0.11,74.0,md,-122.4098333,40.629,22.468
14:00.5,2.6,"Seattle-Tacoma urban area, Washington",reviewed,0,104,uw,28.0,,0.13,45.0,md,-122.511,47.8241667,24.536
21:53.6,2.39,"13km S of Joshua Tree, California",reviewed,0,88,ci,0.0,0.0866,0.178,42.3,mc,-116.341,34.017,0.555
30:48.3,2.0,Central California,reviewed,0,62,nc,43.0,0.02793,0.03,53.0,md,-121.1588333,36.5633333,6.012
53:26.4,3.67,Central California,reviewed,0,207,nc,64.0,0.04414,0.09,46.0,ml,-121.0973333,35.7301667,6.751
21:46.8,2.74,Northern California,reviewed,0,116,nc,27.0,0.0,0.1,126.0,md,-121.3336667,38.9153333,9.51
00:08.0,2.2,Washington,reviewed,0,74,uw,10.0,0.1482,0.38,77.0,md,-119.8105,47.8391667,-0.481
02:07.0,2.27,"10km SSW of Malibu, CA",reviewed,0,79,ci,0.0,,0.077,166.6,mc,-118.848,33.917,1.737
37:25.6,2.8,Nevada,reviewed,0,121,nn,5.0,0.304,0.1245,182.72,ml,-114.954,41.1488,3.3
21:35.2,2.24,offshore Oregon,reviewed,0,77,uw,7.0,0.3196,0.47,256.0,ml,-124.6548333,42.2388333,16.202
08:13.5,2.34,"12km W of Morongo Valley, CA",reviewed,0,84,ci,0.0,,0.101,44.1,mc,-116.71,34.043,13.534
39:28.7,2.64,"12km SSE of Bombay Beach, CA",reviewed,0,107,ci,76.0,0.0855,0.19,43.0,ml,-115.6923333,33.2456667,2.6
58:46.7,2.04,"13km WSW of Ludlow, CA",reviewed,0,64,ci,24.0,,0.15,80.1,ml,-116.287,34.6628333,4.033
40:26.2,2.41,"12km ESE of Soda Springs, Idaho",reviewed,0,89,uu,17.0,0.1129,0.21,90.0,ml,-111.461,42.615,8.87
22:29.5,2.57,Northern California,reviewed,0,102,nc,7.0,0.02072,0.01,169.0,md,-122.9566667,39.4883333,8.307
12:42.9,2.01,"4km N of Yucca Valley, California",reviewed,0,62,ci,0.0,,0.153,88.4,mc,-116.429,34.155,4.727
46:38.5,2.05,"4km WNW of Estacion Coahuila, B.C., MX",reviewed,0,65,ci,7.0,0.5295,0.38,250.1,ml,-115.0453333,32.2106667,6.973
53:13.3,2.2,"33 km SE of Mina, Nevada",reviewed,0,74,nn,24.0,0.026,0.0924,50.62,ml,-117.8403,38.1702,7.7
26:41.7,2.5,"41km WSW of Tecopa, CA",reviewed,0,96,ci,0.0,,0.118,95.1,mc,-116.631,35.676,4.962
26:02.9,2.23,Central California,reviewed,0,77,nc,44.0,0.05405,0.06,54.0,md,-118.4845,37.5911667,7.735
10:00.7,5.11,"52km NNE of Beatty, NV",reviewed,0,402,ci,95.0,,0.35,238.0,ml,-116.4715,37.3143333,0.01
56:27.7,2.48,Northern California,reviewed,0,95,nc,17.0,0.1216,0.05,267.0,md,-122.7191667,39.2178333,8.295
39:41.6,4.08,"38km NNE of Dixon Lane-Meadow Creek, CA",reviewed,0,256,ci,2.0,1.289,0.14,347.0,ml,-118.3253333,37.7165,6.0
19:55.3,2.38,Central California,reviewed,0,87,nc,23.0,0.3306,0.09,259.0,md,-121.016,35.718,6.574
48:39.1,3.46,"12km WSW of Ludlow, CA",reviewed,0,184,ci,0.0,,0.152,61.9,ml,-116.286,34.698,-0.116
00:22.4,2.38,"14km SW of Delta, B.C., MX",reviewed,0,87,ci,8.0,0.5131,0.42,224.0,mh,-115.307,32.2773333,6.0
12:38.2,2.33,"43km WSW of Lompoc, CA",reviewed,0,84,ci,0.0,0.4025,0.18,302.0,mh,-120.874,34.466,5.494
41:21.1,2.1,"Mount St. Helens area, Washington",reviewed,0,68,uw,10.0,0.01413,0.07,112.0,md,-122.1961667,46.1963333,-0.933
55:31.0,2.54,"8km WSW of Santa Rosa Is., California",reviewed,0,99,ci,0.0,0.4594,0.278,194.0,mc,-120.18,33.918,5.317
09:57.7,2.19,Central California,reviewed,0,74,nc,7.0,0.09459,0.02,171.0,md,-118.8048333,37.4966667,2.841
43:43.4,2.06,"19km ESE of Anza, California",reviewed,0,65,ci,10.0,0.4139,0.1,253.4,ml,-116.492,33.4833333,6.207
00:41.9,2.29,Northern California,reviewed,0,81,nc,15.0,0.03063,0.06,61.0,md,-121.5051667,39.482,4.872
31:40.5,2.4,Oregon,reviewed,0,89,uw,34.0,0.4175,0.41,91.0,md,-122.8595,45.118,28.354
50:39.0,2.08,"21km SSE of Needles, CA",reviewed,0,67,ci,0.0,,0.173,0.0,mc,-114.51,34.667,-0.878
10:33.8,3.0,"18km SW of Ludlow, CA",reviewed,0,138,ci,13.0,,0.28,145.0,mh,-116.278,34.594,4.9
27:03.3,2.11,"24km W of Ludlow, CA",reviewed,0,68,ci,14.0,0.1004,0.33,108.0,ml,-116.4146667,34.7531667,6.079
25:06.7,2.31,"7km S of Brawley, CA",reviewed,0,82,ci,17.0,0.08821,0.34,86.0,mh,-115.5175,32.9175,10.0
28:12.2,2.1,Washington,reviewed,0,68,uw,12.0,0.1114,0.23,92.0,md,-122.2848333,48.4036667,7.26
18:17.4,2.41,"15km W of Alberto Oviedo Mota, B.C., MX",reviewed,0,89,ci,19.0,0.185,0.2,241.0,ml,-115.3296667,32.2351667,13.015
41:03.1,3.7,"Mount St. Helens area, Washington",reviewed,0,211,uw,16.0,0.09979,0.23,58.0,md,-122.1818333,46.205,-0.628
38:34.6,2.65,"25km SW of Ocotillo, CA",reviewed,0,108,ci,0.0,,0.075,196.3,mc,-116.162,32.557,12.638
16:26.7,2.25,Northern California,reviewed,0,78,nc,67.0,0.01171,0.08,20.0,md,-122.7695,38.7918333,3.6
14:53.2,2.0,Nevada,reviewed,0,62,nn,30.0,0.009,0.1117,54.62,ml,-119.9382,39.5376,2.1
49:11.7,2.43,"13km NNE of Cabazon, CA",reviewed,0,91,ci,0.0,,0.076,101.4,mc,-116.751,34.029,12.484
53:08.5,2.14,Northern California,reviewed,0,70,nc,19.0,0.007207,0.07,42.0,md,-122.8031667,38.8106667,-0.08
16:22.0,2.5,"Mount St. Helens area, Washington",reviewed,0,96,uw,17.0,0.01765,0.16,83.0,md,-122.2146667,46.2026667,9.281
30:49.0,2.02,"3km SSW of Fontana, CA",reviewed,0,63,ci,29.0,,0.31,73.0,mc,-117.4775,34.0726667,3.143
02:45.9,2.43,"5km NNW of Boron, CA",reviewed,0,91,ci,20.0,0.1094,0.15,72.0,ml,-117.672,35.0421667,-0.837
58:40.3,2.41,Northern California,reviewed,0,89,nc,39.0,0.02703,0.04,30.0,md,-122.7448333,38.7895,1.724
58:35.7,2.47,"Long Valley area, California",reviewed,0,94,nc,8.0,0.4856,0.02,260.0,md,-118.9386667,37.5926667,2.509
05:46.3,2.3,Northern California,reviewed,0,81,nc,6.0,0.04234,0.04,110.0,md,-122.4175,38.841,-0.387
37:48.8,2.12,"24km ENE of Greenfield, California",reviewed,0,69,nc,71.0,0.03063,0.09,66.0,md,-120.9883333,36.407,5.843
17:08.0,3.1,"16km N of Barstow, California",reviewed,0,148,ci,0.0,,0.178,70.0,ml,-116.999,35.038,4.127
43:47.4,2.0,"Mount St. Helens area, Washington",reviewed,0,62,uw,10.0,0.0009943,0.15,85.0,md,-122.1883333,46.2086667,-1.542
05:11.5,2.01,"2km SSW of Lake Henshaw, CA",reviewed,0,62,ci,0.0,,0.182,115.4,mc,-116.772,33.223,11.028
05:39.5,2.43,"7km ENE of Tehachapi, CA",reviewed,0,91,ci,0.0,0.06364,0.294,0.0,mc,-118.38,35.15,-1.079
46:41.4,2.07,Central California,reviewed,0,66,nc,53.0,0.07748,0.06,54.0,md,-120.8131667,35.522,5.146
41:16.6,2.3,"40km W of Tonopah, Nevada",automatic,0,81,nn,14.0,0.125,0.54,127.85,ml,-117.6938,38.1055,8.3
15:38.7,4.1,off the coast of Oregon,reviewed,0,259,us,54.0,,1.2,201.6,mb,-127.037,43.611,10.0
01:59.5,2.31,"6km SW of Ridgemark, CA",reviewed,0,82,nc,67.0,0.02747,0.15,44.0,md,-121.4175,36.7776667,9.64
02:59.1,2.04,"6km ENE of Coso Junction, CA",reviewed,0,64,ci,30.0,0.0526,0.1,84.0,ml,-117.8891667,36.073,1.227
05:49.2,2.26,"36km NE of Lucerne Valley, California",reviewed,0,79,ci,0.0,,0.187,54.8,mc,-116.644,34.622,8.16
16:59.6,2.18,Northern California,reviewed,0,73,nc,9.0,0.06036,0.17,70.0,md,-122.3741667,38.8251667,-0.436
42:59.0,2.01,"22km NNE of Kernville, CA",reviewed,0,62,ci,24.0,0.1737,0.17,194.0,mc,-118.3066667,35.9278333,-1.006
16:23.3,2.23,"40km SW of Stovepipe Wells, California",reviewed,0,77,ci,0.0,0.2688,0.199,279.4,mc,-117.476,36.353,4.577
17:39.8,2.25,"36km NW of San Simeon, California",reviewed,0,78,nc,102.0,0.1162,0.16,191.0,md,-121.5001667,35.857,8.76
33:01.0,2.97,Central California,reviewed,0,136,nc,75.0,0.03243,0.05,31.0,md,-121.209,36.6036667,6.595
09:10.6,2.25,Northern California,reviewed,0,78,nc,9.0,0.7982,0.06,291.0,md,-119.7315,38.7706667,4.786
41:07.2,2.6,Washington,reviewed,0,104,uw,8.0,0.04863,0.13,85.0,md,-122.7435,46.7098333,0.656
16:21.5,2.07,"Long Valley area, California",reviewed,0,66,nc,16.0,0.02883,0.04,75.0,md,-118.9068333,37.6206667,0.418
47:29.3,2.47,"19km W of Westmorland, CA",reviewed,0,94,ci,0.0,,0.103,154.9,mc,-115.825,33.005,2.296
07:35.6,2.0,"40km WSW of Carlsbad, California",reviewed,0,62,ci,7.0,0.6612,0.09,307.0,mh,-117.7601667,33.0461667,5.468
01:35.9,2.3,Washington,reviewed,0,81,uw,37.0,,0.2,101.0,md,-121.5855,46.4186667,1.157
39:30.8,2.63,"16km WNW of Ludlow, California",reviewed,0,106,ci,0.0,,0.139,120.2,ml,-116.313,34.797,2.099
17:43.7,4.6,off the coast of Northern California,reviewed,0,326,us,,,,,mb,-126.265,40.273,5.0
26:59.4,2.77,Utah,reviewed,0,118,uu,14.0,0.2318,0.23,56.0,ml,-112.7098333,38.0581667,4.84
28:56.1,2.09,"12km NNW of Grapevine, CA",reviewed,0,67,ci,0.0,,0.097,182.9,mh,-118.956,35.046,3.765
32:09.7,2.12,Central California,reviewed,0,69,nc,23.0,0.05405,0.07,118.0,md,-120.2381667,36.1801667,12.565
33:42.3,2.31,"9km N of Victorville, CA",reviewed,0,82,ci,0.0,,0.323,0.0,mc,-117.3,34.62,-1.006
08:35.6,2.22,"37km WSW of Ludlow, California",reviewed,0,76,ci,0.0,,0.168,45.4,mc,-116.517,34.564,4.018
47:47.1,2.04,"11km NE of Kettleman City, California",reviewed,0,64,nc,49.0,0.3991,0.13,110.0,md,-119.8788333,36.0915,15.39
52:47.6,2.07,Central California,reviewed,0,66,nc,31.0,0.02613,0.05,85.0,md,-119.0071667,37.5898333,2.0
52:07.9,2.24,Central California,reviewed,0,77,nc,66.0,0.008108,0.06,35.0,md,-121.3381667,36.7026667,4.659
02:31.1,3.14,"29km WNW of Ludlow, CA",reviewed,0,152,ci,0.0,,0.186,129.7,ml,-116.425,34.86,1.935
16:26.5,2.2,Nevada,reviewed,0,74,nn,31.0,0.028,0.1268,62.66,ml,-116.3036,36.7093,11.3
05:09.1,2.68,Northern California,reviewed,0,110,nc,28.0,0.1117,0.08,97.0,md,-122.734,39.2646667,11.03
37:31.5,2.69,"33km ENE of West Yellowstone, Montana",reviewed,0,111,uu,25.0,0.05098,0.19,128.0,ml,-110.7135,44.777,5.08
30:55.8,2.01,"4km NNW of Ocotillo Wells, CA",reviewed,0,62,ci,17.0,0.3216,0.26,46.0,ml,-116.1415,33.1748333,4.37
52:14.0,2.52,offshore Northern California,reviewed,0,98,nc,17.0,0.2423,0.18,238.0,md,-124.627,40.3766667,21.727
21:42.1,2.75,Northern California,reviewed,0,116,nc,30.0,0.03784,0.06,68.0,md,-122.7595,38.7811667,0.348
21:13.1,3.0,Northern California,reviewed,0,138,nc,41.0,0.01441,0.05,36.0,ml,-122.8016667,38.821,3.05
11:46.8,2.91,"San Francisco Bay area, California",reviewed,0,130,nc,43.0,0.03694,0.17,64.0,md,-121.777,37.8415,10.434
47:00.3,2.43,"San Pablo Bay, California",reviewed,0,92,nc,102.0,0.06757,0.16,33.0,md,-122.4095,38.084,12.492
19:49.9,2.07,Northern California,reviewed,0,66,nc,48.0,0.02432,0.15,29.0,md,-121.6085,36.9711667,3.081
08:08.2,2.07,"17km W of Westmorland, CA",reviewed,0,66,ci,0.0,,0.212,174.6,mc,-115.805,33.014,2.866
07:46.8,2.14,"5km N of Bombay Beach, CA",reviewed,0,70,ci,0.0,,0.135,55.9,mc,-115.741,33.395,3.853
32:07.4,2.06,offshore Northern California,reviewed,0,65,nc,9.0,0.2811,0.05,264.0,md,-124.5578333,40.4173333,28.751
48:42.8,2.1,Central California,reviewed,0,68,nn,8.0,0.053,0.1194,178.82,mb,-118.8286,38.0312,0.0
59:08.0,2.01,Northern California,reviewed,0,62,nc,23.0,0.03333,0.05,65.0,md,-122.6936667,38.7455,0.8
07:53.3,2.0,"4km ENE of Holtville, CA",reviewed,0,62,ci,11.0,0.08798,0.34,86.0,mh,-115.3381667,32.8308333,9.57
21:56.8,2.24,"17km SE of Mammoth Lakes, California",reviewed,0,77,nc,44.0,0.05045,0.05,59.0,md,-118.8296667,37.54,5.24
14:22.6,2.43,offshore Central California,reviewed,0,91,nc,39.0,0.1243,0.16,187.0,md,-121.6026667,36.0608333,12.415
41:08.8,2.94,"28km S of Old Faithful Geyser, Wyoming",reviewed,0,133,uu,23.0,0.06669,0.23,96.0,ml,-110.7768333,44.2073333,0.24
58:43.1,2.12,"5km NNW of Los Olivos, California",reviewed,0,69,ci,7.0,0.2245,0.32,100.0,mc,-120.1431667,34.7068333,4.641
38:26.4,4.1,"98km S of Port Hardy, Canada",reviewed,0,259,us,,0.975,1.09,155.0,mwr,-127.3301,49.8138,10.0
38:37.7,2.62,"10km NNE of Milpitas, CA",reviewed,0,115,nc,101.0,0.02977,0.1,28.0,md,-121.8698333,37.514,9.31
43:36.4,2.19,"16km W of Alberto Oviedo Mota, B.C., MX",reviewed,0,74,ci,11.0,0.1994,0.26,249.0,ml,-115.3453333,32.2225,5.465
44:53.1,2.5,Nevada,reviewed,0,96,nn,13.0,0.167,0.1207,142.0,ml,-117.3712,37.1586,12.9
51:31.6,2.5,"30km NW of Santa Barbara Is., CA",reviewed,0,96,ci,0.0,,0.24,158.0,mc,-119.331,33.627,5.751
01:16.0,2.0,Central California,reviewed,0,62,nn,7.0,0.072,0.0696,108.77,ml,-118.6545,38.0214,6.8
41:40.6,2.08,"14km S of Progreso, B.C., MX",reviewed,0,67,ci,15.0,0.2353,0.08,225.0,ml,-115.57,32.454,5.325
13:05.0,2.16,"Long Valley area, California",reviewed,0,72,nc,13.0,0.01892,0.04,84.0,md,-118.836,37.6185,-0.279
12:38.6,2.6,"66km ESE of Lakeview, Oregon",reviewed,0,104,nn,5.0,0.144,0.0863,122.27,ml,-119.6566,41.8539,7.8
17:15.8,2.07,"8km SW of Holtville, California",reviewed,0,66,ci,0.0,0.1085,0.264,142.8,mc,-115.434,32.753,15.899
50:07.8,2.25,"24km WNW of Inyokern, CA",reviewed,0,78,ci,28.0,0.02489,0.19,39.9,mc,-118.0701667,35.7153333,1.952
23:43.7,2.39,"5km WNW of Woodlake, California",reviewed,0,88,nc,18.0,0.9045,0.17,307.0,md,-119.1521667,36.4383333,8.683
55:05.0,2.13,Northern California,reviewed,0,70,nc,3.0,0.05405,0.03,253.0,md,-121.5366667,39.5073333,8.761
03:13.5,2.18,"32km ESE of Barstow, CA",reviewed,0,73,ci,0.0,,0.202,108.5,mc,-116.686,34.817,-0.927
38:46.0,2.58,"San Francisco Bay area, California",reviewed,0,102,nc,22.0,0.06577,0.07,79.0,md,-122.4701667,37.7731667,15.824
48:20.9,2.15,"9km WNW of Cobb, California",reviewed,0,71,nc,63.0,0.008818,0.05,58.0,md,-122.8276667,38.8465,2.2
14:05.0,2.91,"173km W of Ferndale, California",reviewed,0,130,nc,17.0,1.505,0.19,322.0,ml,-126.3118333,40.4853333,9.62
28:36.2,2.22,Central California,reviewed,0,76,nc,22.0,0.01351,0.1,75.0,md,-120.3483333,36.2366667,8.142
09:14.6,2.02,"8km NW of Ocotillo, CA",reviewed,0,63,ci,31.0,,0.29,86.0,mc,-116.0558333,32.7776667,8.905
43:52.4,2.03,Northern California,reviewed,0,63,nc,23.0,0.01892,0.02,45.0,md,-122.771,38.8051667,0.153
33:38.0,2.18,"14km NE of Ridgecrest, CA",automatic,0,73,ci,21.0,0.133,0.21,67.0,ml,-117.5565,35.6953333,6.63
06:06.4,2.2,"6km ENE of Tehachapi, CA",reviewed,0,74,ci,9.0,,0.06,141.0,mh,-118.3893333,35.1536667,0.01
05:38.5,2.89,Central California,reviewed,0,130,nc,57.0,0.03694,0.05,60.0,md,-121.1138333,36.5323333,8.531
24:56.3,2.84,"9km NNW of Pinnacles, CA",reviewed,0,126,nc,65.0,0.03122,0.09,67.0,md,-121.199,36.601,5.82
54:40.3,3.64,Utah,reviewed,0,204,uu,19.0,0.3204,0.19,66.0,ml,-112.5315,38.7178333,2.07
15:04.6,2.07,"4km SSE of Home Gardens, CA",reviewed,0,66,ci,0.0,,0.478,152.7,mc,-117.5,33.85,-0.473
45:08.0,2.68,offshore Northern California,reviewed,0,110,nc,15.0,0.1189,0.03,262.0,md,-124.443,40.3075,11.256
47:59.3,2.8,"Yellowstone National Park, Montana",reviewed,0,121,us,,,0.6,,ml,-111.076,44.646,5.0
56:40.1,3.38,"13km SW of Searles Valley, CA",reviewed,0,179,ci,61.0,0.09713,0.13,23.0,ml,-117.4931667,35.6805,1.31
57:27.5,2.13,offshore Northern California,reviewed,0,70,nc,13.0,0.1297,0.06,259.0,md,-124.4446667,40.3745,17.359
03:19.0,2.34,"12km NW of Delta, B.C., MX",reviewed,0,84,ci,15.0,0.4083,0.32,256.0,ml,-115.2911667,32.4176667,5.98
54:53.1,3.0,"42km SW of Carlin, Nevada",reviewed,0,139,nn,20.0,0.505,0.1584,59.87,ml,-116.4597,40.4382,3.1
39:32.5,2.6,Central California,reviewed,0,104,nc,49.0,0.02342,0.06,107.0,md,-118.875,37.5331667,3.262
43:45.7,2.02,"20km NW of Ludlow, CA",reviewed,0,63,ci,20.0,0.01777,0.18,68.0,ml,-116.3193333,34.8416667,3.812
19:20.9,2.02,Central California,reviewed,0,63,nc,20.0,0.06757,0.13,78.0,md,-121.009,35.7345,4.116
36:01.0,2.29,"10km NNW of Independence, California",reviewed,0,81,ci,0.0,,0.245,155.7,mc,-118.237,36.89,3.921
25:27.2,2.11,"8km WNW of Greenville, California",reviewed,0,68,nc,27.0,0.1757,0.16,80.0,md,-121.0391667,40.1741667,6.909
27:45.5,2.21,Utah,reviewed,0,75,uu,8.0,0.3506,0.15,75.0,md,-111.2468333,39.7031667,5.97
27:45.3,2.05,"1km SE of Ladera Ranch, CA",reviewed,0,65,ci,19.0,,0.33,169.0,ml,-117.624,33.563,11.83
44:10.0,2.82,"52km SSW of Progreso, B.C., MX",reviewed,0,122,ci,0.0,,0.308,134.1,mc,-115.784,32.146,5.958
01:20.7,2.46,Northern California,reviewed,0,93,nc,15.0,0.282,0.07,173.0,md,-119.6153333,38.717,-1.136
00:32.2,2.5,"5km NW of Boron, CA",reviewed,0,96,ci,15.0,,0.13,159.0,mh,-117.6856667,35.0365,0.03
43:56.4,3.02,"37km E of Hawthorne, NV",reviewed,0,140,ci,3.0,1.478,1.53,344.0,ml,-118.1956667,38.534,6.0
15:17.2,2.45,Central California,reviewed,0,92,nc,48.0,0.03604,0.06,64.0,md,-118.87,37.5453333,4.717
06:18.0,2.49,Central California,reviewed,0,95,nc,12.0,0.1721,0.03,210.0,md,-118.8033333,37.4955,7.821
52:34.5,2.57,"19km SW of Alberto Oviedo Mota, B.C., MX",reviewed,0,102,ci,13.0,0.329,0.27,257.0,ml,-115.2926667,32.0896667,12.002
33:15.0,2.13,Northern California,reviewed,0,70,nc,25.0,0.1225,0.06,40.0,md,-123.0663333,39.5585,8.537
30:05.3,2.44,"3km W of Little Lake, CA",reviewed,0,92,ci,6.0,0.304,0.12,124.0,mh,-117.9426667,35.9336667,6.0
47:14.3,2.06,"14km WSW of Delta, B.C., MX",reviewed,0,65,ci,13.0,0.4761,0.37,238.2,ml,-115.3353333,32.3056667,7.017
32:37.9,2.27,"45km NE of Holtville, CA",reviewed,0,79,ci,0.0,,0.241,102.2,mc,-115.0,33.06,-0.277
39:18.5,2.22,"3km ENE of Ocotillo Wells, CA",reviewed,0,76,ci,21.0,0.2247,0.25,73.0,ml,-116.1011667,33.1511667,6.14
35:22.0,2.69,Central California,reviewed,0,111,nc,11.0,0.05405,0.05,189.0,md,-119.9576667,37.8343333,34.062
14:47.3,2.0,"Mount St. Helens area, Washington",reviewed,0,62,uw,7.0,0.02789,0.25,74.0,md,-122.1913333,46.1983333,-1.042
19:42.3,2.98,"15km NNE of Inyokern, CA",reviewed,0,137,ci,0.0,,0.128,50.6,ml,-117.736,35.771,2.762
42:13.2,2.21,"20km SSE of Joshua Tree, CA",reviewed,0,75,ci,0.0,,0.052,78.1,mc,-116.253,33.962,8.365
52:12.2,2.51,"20km W of Delta, B.C., MX",reviewed,0,97,ci,21.0,0.2838,0.14,207.0,ml,-115.4088333,32.3395,9.448
16:25.2,2.23,"16km N of Independence, CA",reviewed,0,77,ci,0.0,,0.432,0.0,mc,-118.165,36.947,4.487
37:09.5,2.39,Central California,reviewed,0,88,nc,15.0,0.09459,0.03,193.0,md,-118.858,37.4993333,6.476
31:20.2,2.1,"27km SSE of Santa Rosa Is., CA",reviewed,0,68,ci,6.0,,0.06,295.0,mh,-120.015,33.7178333,6.87
02:33.2,2.15,"2km ENE of Huntington Park, CA",reviewed,0,71,ci,0.0,,0.127,104.9,ml,-118.209,33.986,9.23
54:47.0,2.43,Northern California,reviewed,0,91,nc,15.0,0.4036,0.07,281.0,md,-123.2926667,39.3838333,-0.715
58:37.9,2.55,Utah,reviewed,0,100,uu,8.0,0.3967,0.21,78.0,md,-112.5228333,37.9751667,5.98
03:29.8,2.63,"4km WNW of Desert Hot Springs, CA",reviewed,0,106,ci,0.0,,0.088,56.8,ml,-116.546,33.972,7.727
36:39.6,3.47,"18km WNW of Progreso, B.C., MX",reviewed,0,185,ci,21.0,0.04879,0.19,191.0,ml,-115.7726667,32.62,0.283
11:16.3,2.32,Northern California,reviewed,0,83,nc,66.0,0.01081,0.08,26.0,md,-122.7963333,38.8183333,2.3
57:44.9,2.07,Northern California,reviewed,0,66,nc,47.0,0.04775,0.06,63.0,md,-121.9776667,37.1395,13.069
11:57.6,2.05,"33km NE of Big Bear City, CA",reviewed,0,65,ci,0.0,,0.21,133.3,mc,-116.551,34.431,4.325
06:18.3,2.0,Central California,reviewed,0,62,nc,19.0,0.05405,0.07,135.0,md,-118.371,37.4795,4.854
12:05.9,2.7,"Mount St. Helens area, Washington",reviewed,0,112,uw,9.0,0.005418,0.09,109.0,md,-122.1965,46.1966667,-1.674
31:04.9,2.05,"21km N of Twentynine Palms, California",reviewed,0,65,ci,0.0,0.04548,0.081,125.5,mc,-116.113,34.325,1.095
32:57.6,2.6,"10km NNE of Ocotillo Wells, CA",reviewed,0,104,ci,0.0,,0.253,55.5,mc,-116.104,33.235,8.725
58:19.7,3.12,Central California,reviewed,0,150,nc,45.0,0.06306,0.09,72.0,md,-120.2681667,36.233,12.357
57:00.8,2.1,"5km NW of Boron, California",reviewed,0,68,ci,10.0,0.101,0.09,139.0,mc,-117.689,35.0278333,-0.921
13:12.7,2.06,"11km WNW of Shasta Lake, California",reviewed,0,65,nc,19.0,0.06126,0.13,92.0,md,-122.4978333,40.7158333,22.297
28:37.7,2.13,Central California,reviewed,0,70,nc,33.0,0.04054,0.1,75.0,md,-120.975,36.4056667,0.651
56:56.1,2.65,Northern California,reviewed,0,108,nc,45.0,0.127,0.24,44.0,ml,-123.3956667,41.1598333,38.683
11:03.5,2.56,"4km NW of Boron, CA",reviewed,0,101,ci,0.0,0.3613,0.313,149.3,mc,-117.68,35.03,-0.861
44:04.2,2.09,"45km NE of Holtville, CA",reviewed,0,67,ci,0.0,,0.217,84.9,mc,-115.0,33.06,-0.155
54:31.6,2.73,"8km NNW of Chatsworth, California",reviewed,0,115,ci,0.0,,0.328,83.4,ml,-118.624,34.33,0.891
